beta,map,ndcg,rmse
0,3.220157158581791E-7,3.135899206079148E-6,0.883485133983826
5,0.010364278790964977,0.05145904354288582,0.9117783231580291
10,0.01275282574047671,0.05711797912585469,0.932451596552069
100,0.023642240789942703,0.08004673461030093,1.1267428455142041
1000,0.02903612936374204,0.10035201786725807,1.7430285219455062
10000,0.03163532535597729,0.10881731870315896,2.903718979242965
100000,0.03158425406987545,0.10872753204942358,3.973851144493954
1000000,0.03199432667632914,0.10895100275229436,4.324668607376163
