rank,regParam,map,ndcg,rmse
10,0.001,9.242028735340033E-7,2.1649905574550933E-5,0.9250588673207092
10,0.005,1.2432862030468014E-6,2.5966220477786576E-5,0.8795939768878405
10,0.01,1.4633055134645648E-6,2.7755864594313526E-5,0.8592619552174584
10,0.05,8.996877459570427E-5,0.0011519614406734111,0.8223009376552023
10,0.1,2.636141242740747E-5,3.656776049506671E-4,0.8303623651010522
75,0.001,3.116722205320407E-4,0.0017766549758657653,1.1858420819653892
75,0.005,0.002427356103699717,0.013568672304863796,0.98395219510734
75,0.01,0.004000283051392658,0.02298752843454917,0.915054982701631
75,0.05,0.005098351088908849,0.02952087174167087,0.8078444353022456
75,0.1,1.1508383691014276E-4,0.0011984737730339446,0.8269497278817108
200,0.001,0.0025675628689924563,0.017250167978244354,1.169078883752647
200,0.005,0.007092260905485263,0.04231501875102886,0.9779758282963936
200,0.01,0.007994920162756075,0.04841895964197693,0.9155769309972874
200,0.05,0.007437895159326669,0.04055803801260259,0.8068894093274799
200,0.1,1.1554482040299606E-4,0.001204086198080123,0.8269469858914584
