beta,map,ndcg,rmse
0,9.526950232089124E-7,8.287454800213071E-6,0.9682398312662039
5,0.008597305921205238,0.04609994814658277,0.9780538160406032
10,0.010492047920246004,0.051206079610805866,0.9876984054273235
100,0.01928427252715205,0.07185658253445101,1.0894229008539842
1000,0.02447705088258781,0.09188675068137853,1.4928306755360607
10000,0.027689676710714844,0.10290082555481843,2.4062067934670486
100000,0.028423332476521578,0.10537212269159738,3.297247325848292
1000000,0.02901340369151007,0.10628821072678325,3.586711758008691
