,qps05,rec05,qps10,rec10,qps20,rec20,brute
0,44355.63150903968,0.36648,39583.61881680549,0.6026,19941.122327113397,0.79258,2173.5023560633213
1,26263.446987248684,0.66884,15507.361580763689,0.78,9131.169297112025,0.8245,2173.5023560633213
2,16724.433687282934,0.70904,9171.53017004805,0.82976,5395.624740786937,0.86976,2173.5023560633213
3,9183.494554674397,0.80182,5171.492714568102,0.88088,2874.0129262279142,0.90708,2173.5023560633213
4,4874.106333345651,0.9419,2505.2622223326566,0.96296,1419.3025915859255,0.9683,2173.5023560633213
