beta,map,ndcg,rmse
0,3.971807628524043E-6,1.7339637081993656E-4,0.9287926948593527
5,0.0336922957735952,0.12419561510167595,1.6691455816747403
10,0.03423587686046551,0.12715811947220348,2.012377474968307
100,0.03153967821285366,0.12297586088278606,3.395154695350134
1000,0.030211732678364682,0.11817319129353071,4.208978626662028
10000,0.030150310306397875,0.11715559802550228,4.371165321820798
100000,0.030149265077066868,0.11715760684165716,4.389548390366271
1000000,0.03014926507706687,0.11715760684165717,4.391412698609667
