beta,map,ndcg,rmse
0,3.694029850746269E-6,1.6575651069949512E-4,1.005773107519234
5,0.029277176333300632,0.1198285337462224,1.421859646925241
10,0.03019471367668518,0.12443875611191846,1.6832500113969033
100,0.02828007795131535,0.12256959948699463,2.847835021964352
1000,0.027429938855596386,0.11954255017738422,3.5645746512669243
10000,0.02739033899044189,0.11876229284716018,3.707182225573325
100000,0.027390784658654178,0.11876747731703496,3.7233124623914065
1000000,0.027390784658654178,0.11876747731703496,3.7249478540385317
