rank,regParam,map,ndcg,rmse
10,0.001,9.167364324155023E-4,0.011714301039594966,2.0517207979882213
10,0.005,8.394196150402869E-4,0.012174935074512106,1.3625729055199096
10,0.01,0.0010671919059527899,0.013250944079112472,1.2068806465534647
10,0.05,0.0016796841490674655,0.021332079359936612,0.9867229987576105
10,0.1,0.001501154836401048,0.015076601128144568,0.9266393442412653
75,0.001,0.014606752858615972,0.08358349927947867,1.704280321368621
75,0.005,0.016779050230011514,0.0902288272007596,1.3413703509942978
75,0.01,0.016514173583529725,0.0893261075703243,1.180559761394639
75,0.05,0.010110537934602629,0.07205085123689173,0.9594306478794382
75,0.1,0.005184456986661186,0.042793281612276184,0.9234764015552828
200,0.001,0.0194603474284933,0.09730101044995125,1.7091541500396081
200,0.005,0.017990038805272064,0.09468581098590251,1.3212743867573735
200,0.01,0.01738405972788575,0.09345788640911956,1.1665872340255976
200,0.05,0.010544888940006901,0.07369545955044253,0.9577597153595941
200,0.1,0.005167610947464152,0.0423870832476666,0.9234369810244266
